ParcelIndex,Structure
1,Cortex
2,Cortex
3,Cortex
4,Cortex
5,Cortex
6,Cortex
7,Cortex
8,Cortex
9,Cortex
10,Cortex
11,Cortex
12,Cortex
13,Cortex
14,Cortex
15,Cortex
16,Cortex
17,Cortex
18,Cortex
19,Cortex
20,Cortex
21,Cortex
22,Cortex
23,Cortex
24,Cortex
25,Cortex
26,Cortex
27,Cortex
28,Cortex
29,Cortex
30,Cortex
31,Cortex
32,Cortex
33,Cortex
34,Cortex
35,Cortex
36,Cortex
37,Cortex
38,Cortex
39,Cortex
40,Cortex
41,Cortex
42,Cortex
43,Cortex
44,Cortex
45,Cortex
46,Cortex
47,Cortex
48,Cortex
49,Cortex
50,Cortex
51,Cortex
52,Cortex
53,Cortex
54,Cortex
55,Cortex
56,Cortex
57,Cortex
58,Cortex
59,Cortex
60,Cortex
61,Cortex
62,Cortex
63,Cortex
64,Cortex
65,Cortex
66,Cortex
67,Cortex
68,Cortex
69,Cortex
70,Cortex
71,Cortex
72,Cortex
73,Cortex
74,Cortex
75,Cortex
76,Cortex
77,Cortex
78,Cortex
79,Cortex
80,Cortex
81,Cortex
82,Cortex
83,Cortex
84,Cortex
85,Cortex
86,Cortex
87,Cortex
88,Cortex
89,Cortex
90,Cortex
91,Cortex
92,Cortex
93,Cortex
94,Cortex
95,Cortex
96,Cortex
97,Cortex
98,Cortex
99,Cortex
100,Cortex
101,Cortex
102,Cortex
103,Cortex
104,Cortex
105,Cortex
106,Cortex
107,Cortex
108,Cortex
109,Cortex
110,Cortex
111,Cortex
112,Cortex
113,Cortex
114,Cortex
115,Cortex
116,Cortex
117,Cortex
118,Cortex
119,Cortex
120,Cortex
121,Cortex
122,Cortex
123,Cortex
124,Cortex
125,Cortex
126,Cortex
127,Cortex
128,Cortex
129,Cortex
130,Cortex
131,Cortex
132,Cortex
133,Cortex
134,Cortex
135,Cortex
136,Cortex
137,Cortex
138,Cortex
139,Cortex
140,Cortex
141,Cortex
142,Cortex
143,Cortex
144,Cortex
145,Cortex
146,Cortex
147,Cortex
148,Cortex
149,Cortex
150,Cortex
151,Cortex
152,Cortex
153,Cortex
154,Cortex
155,Cortex
156,Cortex
157,Cortex
158,Cortex
159,Cortex
160,Cortex
161,Cortex
162,Cortex
163,Cortex
164,Cortex
165,Cortex
166,Cortex
167,Cortex
168,Cortex
169,Cortex
170,Cortex
171,Cortex
172,Cortex
173,Cortex
174,Cortex
175,Cortex
176,Cortex
177,Cortex
178,Cortex
179,Cortex
180,Cortex
181,Cortex
182,Cortex
183,Cortex
184,Cortex
185,Cortex
186,Cortex
187,Cortex
188,Cortex
189,Cortex
190,Cortex
191,Cortex
192,Cortex
193,Cortex
194,Cortex
195,Cortex
196,Cortex
197,Cortex
198,Cortex
199,Cortex
200,Cortex
201,Cortex
202,Cortex
203,Cortex
204,Cortex
205,Cortex
206,Cortex
207,Cortex
208,Cortex
209,Cortex
210,Cortex
211,Cortex
212,Cortex
213,Cortex
214,Cortex
215,Cortex
216,Cortex
217,Cortex
218,Cortex
219,Cortex
220,Cortex
221,Cortex
222,Cortex
223,Cortex
224,Cortex
225,Cortex
226,Cortex
227,Cortex
228,Cortex
229,Cortex
230,Cortex
231,Cortex
232,Cortex
233,Cortex
234,Cortex
235,Cortex
236,Cortex
237,Cortex
238,Cortex
239,Cortex
240,Cortex
241,Cortex
242,Cortex
243,Cortex
244,Cortex
245,Cortex
246,Cortex
247,Cortex
248,Cortex
249,Cortex
250,Cortex
251,Cortex
252,Cortex
253,Cortex
254,Cortex
255,Cortex
256,Cortex
257,Cortex
258,Cortex
259,Cortex
260,Cortex
261,Cortex
262,Cortex
263,Cortex
264,Cortex
265,Cortex
266,Cortex
267,Cortex
268,Cortex
269,Cortex
270,Cortex
271,Cortex
272,Cortex
273,Cortex
274,Cortex
275,Cortex
276,Cortex
277,Cortex
278,Cortex
279,Cortex
280,Cortex
281,Cortex
282,Cortex
283,Cortex
284,Cortex
285,Cortex
286,Cortex
287,Cortex
288,Cortex
289,Cortex
290,Cortex
291,Cortex
292,Cortex
293,Cortex
294,Cortex
295,Cortex
296,Cortex
297,Cortex
298,Cortex
299,Cortex
300,Cortex
301,Cortex
302,Cortex
303,Cortex
304,Cortex
305,Cortex
306,Cortex
307,Cortex
308,Cortex
309,Cortex
310,Cortex
311,Cortex
312,Cortex
313,Cortex
314,Cortex
315,Cortex
316,Cortex
317,Cortex
318,Cortex
319,Cortex
320,Cortex
321,Cortex
322,Cortex
323,Cortex
324,Cortex
325,Cortex
326,Cortex
327,Cortex
328,Cortex
329,Cortex
330,Cortex
331,Cortex
332,Cortex
333,Cortex
334,Cortex
335,Cortex
336,Cortex
337,Cortex
338,Cortex
339,Cortex
340,Cortex
341,Cortex
342,Cortex
343,Cortex
344,Cortex
345,Cortex
346,Cortex
347,Cortex
348,Cortex
349,Cortex
350,Cortex
351,Cortex
352,Cortex
353,Cortex
354,Cortex
355,Cortex
356,Cortex
357,Cortex
358,Cortex
359,Cortex
360,Cortex
361,Cortex
362,Cortex
363,Cortex
364,Cortex
365,Cortex
366,Cortex
367,Cortex
368,Cortex
369,Cortex
370,Cortex
371,Cortex
372,Cortex
373,Cortex
374,Cortex
375,Cortex
376,Cortex
377,Cortex
378,Cortex
379,Cortex
380,Cortex
381,Cortex
382,Cortex
383,Cortex
384,Cortex
385,Cortex
386,Cortex
387,Cortex
388,Cortex
389,Cortex
390,Cortex
391,Cortex
392,Cortex
393,Cortex
394,Cortex
395,Cortex
396,Cortex
397,Cortex
398,Cortex
399,Cortex
400,Cortex
401,Subcortex
402,Subcortex
403,Subcortex
404,Subcortex
405,Subcortex
406,Subcortex
407,Subcortex
408,Subcortex
409,Subcortex
410,Subcortex
411,Subcortex
412,Subcortex
413,Subcortex
414,Subcortex
415,Subcortex
416,Subcortex
417,Subcortex
418,Subcortex
419,Subcortex
420,Subcortex
421,Subcortex
422,Subcortex
423,Subcortex
424,Subcortex
425,Subcortex
426,Subcortex
427,Subcortex
428,Subcortex
429,Subcortex
430,Subcortex
431,Subcortex
432,Subcortex
433,Cerebellum
434,Cerebellum
435,Cerebellum
436,Cerebellum
437,Cerebellum
438,Cerebellum
439,Cerebellum
