ParcelID,DisplayLabel,Hemisphere,Network,SchaeferName,X,Y,Z,AnatomicalRegion,AnatomicalOverlapPercent,Voxels
1,L visual 1,L,VIS,7Networks_LH_Vis_1,-32,-41,-21,Fusiform L,66.8,2797
2,L visual 2,L,VIS,7Networks_LH_Vis_2,-30,-33,-18,Fusiform L,73.2,3344
3,L visual 3,L,VIS,7Networks_LH_Vis_3,-36,-62,-17,Fusiform L,69.4,2494
4,L visual 4,L,VIS,7Networks_LH_Vis_4,-24,-55,-8,Lingual L,56.8,3169
5,L visual 5,L,VIS,7Networks_LH_Vis_5,-23,-73,-10,Fusiform L,42.8,3356
6,L visual 6,L,VIS,7Networks_LH_Vis_6,-36,-81,-16,Fusiform L,33.2,2827
7,L visual 7,L,VIS,7Networks_LH_Vis_7,-19,-37,-12,Fusiform L,32.3,1483
8,L visual 8,L,VIS,7Networks_LH_Vis_8,-45,-70,-8,Occipital Inf L,74.5,3737
9,L visual 9,L,VIS,7Networks_LH_Vis_9,-17,-86,-15,Lingual L,56.9,2637
10,L visual 10,L,VIS,7Networks_LH_Vis_10,-12,-61,-5,Lingual L,78.0,2175
11,L visual 11,L,VIS,7Networks_LH_Vis_11,-7,-76,-6,Lingual L,73.2,2467
12,L visual 12,L,VIS,7Networks_LH_Vis_12,-25,-97,-12,Lingual L,47.3,4236
13,L visual 13,L,VIS,7Networks_LH_Vis_13,-13,-43,-6,Lingual L,73.8,946
14,L visual 14,L,VIS,7Networks_LH_Vis_14,-41,-87,-3,Occipital Mid L,76.4,3087
15,L visual 15,L,VIS,7Networks_LH_Vis_15,-7,-97,-7,Calcarine L,74.3,4087
16,L visual 16,L,VIS,7Networks_LH_Vis_16,-14,-57,1,Lingual L,88.3,1617
17,L visual 17,L,VIS,7Networks_LH_Vis_17,-46,-73,6,Occipital Mid L,80.9,3440
18,L visual 18,L,VIS,7Networks_LH_Vis_18,-5,-88,1,Calcarine L,90.3,3324
19,L visual 19,L,VIS,7Networks_LH_Vis_19,-24,-96,6,Occipital Mid L,90.4,4720
20,L visual 20,L,VIS,7Networks_LH_Vis_20,-14,-49,4,Lingual L,46.3,970
21,L visual 21,L,VIS,7Networks_LH_Vis_21,-7,-74,9,Calcarine L,74.2,3735
22,L visual 22,L,VIS,7Networks_LH_Vis_22,-19,-64,7,Calcarine L,80.9,1941
23,L visual 23,L,VIS,7Networks_LH_Vis_23,-39,-84,14,Occipital Mid L,99.4,4515
24,L visual 24,L,VIS,7Networks_LH_Vis_24,-11,-97,17,Occipital Sup L,52.7,4743
25,L visual 25,L,VIS,7Networks_LH_Vis_25,-3,-84,24,Cuneus L,84.9,3649
26,L visual 26,L,VIS,7Networks_LH_Vis_26,-12,-71,20,Calcarine L,51.3,2251
27,L visual 27,L,VIS,7Networks_LH_Vis_27,-25,-85,22,Occipital Mid L,64.3,2783
28,L visual 28,L,VIS,7Networks_LH_Vis_28,-32,-84,27,Occipital Mid L,96.4,1842
29,L visual 29,L,VIS,7Networks_LH_Vis_29,-16,-89,33,Occipital Sup L,72.3,2650
30,L visual 30,L,VIS,7Networks_LH_Vis_30,-12,-81,36,Cuneus L,71.8,2025
