test_set,test_row,drug,cohort,lsd_row
other_psych,1,psilocybin,LPM,43
other_psych,2,psilocybin,LPM,44
other_psych,3,psilocybin,LPM,45
other_psych,4,psilocybin,LPM,46
other_psych,5,psilocybin,LPM,47
other_psych,6,psilocybin,LPM,48
other_psych,7,psilocybin,LPM,49
other_psych,8,psilocybin,LPM,50
other_psych,9,psilocybin,LPM,51
other_psych,10,psilocybin,LPM,52
other_psych,11,psilocybin,LPM,53
other_psych,12,psilocybin,LPM,54
other_psych,13,psilocybin,LPM,55
other_psych,14,psilocybin,LPM,56
other_psych,15,psilocybin,LPM,57
other_psych,16,psilocybin,LPM,58
other_psych,17,psilocybin,LPM,59
other_psych,18,psilocybin,LPM,60
other_psych,19,psilocybin,LPM,61
other_psych,20,psilocybin,LPM,62
other_psych,21,psilocybin,LPM,63
other_psych,22,psilocybin,LPM,64
other_psych,23,psilocybin,LPM,65
other_psych,24,psilocybin,LPM,66
other_psych,25,psilocybin,LPM,67
other_psych,26,mescaline,LPM,43
other_psych,27,mescaline,LPM,44
other_psych,28,mescaline,LPM,45
other_psych,29,mescaline,LPM,46
other_psych,30,mescaline,LPM,47
other_psych,31,mescaline,LPM,48
other_psych,32,mescaline,LPM,49
other_psych,33,mescaline,LPM,50
other_psych,34,mescaline,LPM,51
other_psych,35,mescaline,LPM,52
other_psych,36,mescaline,LPM,53
other_psych,37,mescaline,LPM,54
other_psych,38,mescaline,LPM,55
other_psych,39,mescaline,LPM,56
other_psych,40,mescaline,LPM,57
other_psych,41,mescaline,LPM,58
other_psych,42,mescaline,LPM,59
other_psych,43,mescaline,LPM,60
other_psych,44,mescaline,LPM,61
other_psych,45,mescaline,LPM,62
other_psych,46,mescaline,LPM,63
other_psych,47,mescaline,LPM,64
other_psych,48,mescaline,LPM,65
other_psych,49,mescaline,LPM,66
other_psych,50,mescaline,LPM,67
all_amphs,1,amphetamine,LAM,20
all_amphs,2,amphetamine,LAM,21
all_amphs,3,amphetamine,LAM,22
all_amphs,4,amphetamine,LAM,23
all_amphs,5,amphetamine,LAM,24
all_amphs,6,amphetamine,LAM,25
all_amphs,7,amphetamine,LAM,26
all_amphs,8,amphetamine,LAM,27
all_amphs,9,amphetamine,LAM,28
all_amphs,10,amphetamine,LAM,29
all_amphs,11,amphetamine,LAM,30
all_amphs,12,amphetamine,LAM,31
all_amphs,13,amphetamine,LAM,32
all_amphs,14,amphetamine,LAM,33
all_amphs,15,amphetamine,LAM,34
all_amphs,16,amphetamine,LAM,35
all_amphs,17,amphetamine,LAM,36
all_amphs,18,amphetamine,LAM,37
all_amphs,19,amphetamine,LAM,38
all_amphs,20,amphetamine,LAM,39
all_amphs,21,amphetamine,LAM,40
all_amphs,22,amphetamine,LAM,41
all_amphs,23,amphetamine,LAM,42
all_amphs,24,mdma,LAM,20
all_amphs,25,mdma,LAM,21
all_amphs,26,mdma,LAM,22
all_amphs,27,mdma,LAM,23
all_amphs,28,mdma,LAM,24
all_amphs,29,mdma,LAM,25
all_amphs,30,mdma,LAM,26
all_amphs,31,mdma,LAM,27
all_amphs,32,mdma,LAM,28
all_amphs,33,mdma,LAM,29
all_amphs,34,mdma,LAM,30
all_amphs,35,mdma,LAM,31
all_amphs,36,mdma,LAM,32
all_amphs,37,mdma,LAM,33
all_amphs,38,mdma,LAM,34
all_amphs,39,mdma,LAM,35
all_amphs,40,mdma,LAM,36
all_amphs,41,mdma,LAM,37
all_amphs,42,mdma,LAM,38
all_amphs,43,mdma,LAM,39
all_amphs,44,mdma,LAM,40
all_amphs,45,mdma,LAM,41
all_amphs,46,mdma,LAM,42
